Index,Tag,Station,Type,SW Ver.,Time Stamp,Log Interval,Latitude,Longitude,Altitude,DOP,Speed,Battery,Temperature,Light Intensity,Movement,Accelerometer,Alarm,RSSI,Coverage,Retries,Ack Source
76,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 08:00,(-),-17.876000°,25.834715°,(-),<10 meters,0 km/h,7 Volt,20°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
77,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 09:00,(-),-17.877617°,25.833733°,(-),<10 meters,0 km/h,7 Volt,28°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
78,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 10:00,(-),-17.882933°,25.835582°,(-),<10 meters,0 km/h,7 Volt,32°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
79,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 11:00,(-),-17.883948°,25.835682°,(-),<10 meters,0 km/h,7 Volt,33°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
80,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 12:00,(-),-17.879933°,25.830565°,(-),<10 meters,0 km/h,7 Volt,37°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
81,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 13:00,(-),-17.879448°,25.831415°,(-),<10 meters,0 km/h,7 Volt,36°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
82,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 14:00,(-),-17.879417°,25.829915°,(-),<10 meters,0 km/h,7 Volt,36°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
83,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 15:00,(-),-17.877565°,25.827283°,(-),<10 meters,0 km/h,7 Volt,35°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
84,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 16:00,(-),-17.877882°,25.822415°,(-),<10 meters,0 km/h,7 Volt,34°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
85,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 18:00,(-),-17.881048°,25.811117°,(-),<10 meters,0 km/h,7 Volt,31°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
86,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 19:00,(-),-17.875250°,25.825015°,(-),<10 meters,0 km/h,7 Volt,30°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
87,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 20:00,(-),-17.872567°,25.831783°,(-),<10 meters,0 km/h,7 Volt,28°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
88,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 21:00,(-),-17.872615°,25.831832°,(-),<10 meters,0 km/h,7 Volt,27°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
89,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 22:00,(-),-17.872667°,25.831832°,(-),<10 meters,0 km/h,7 Volt,27°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
90,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 23:00,(-),-17.872615°,25.831817°,(-),<10 meters,0 km/h,7 Volt,26°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
91,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 00:00,(-),-17.871032°,25.835782°,(-),<10 meters,0 km/h,7 Volt,24°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
92,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 01:00,(-),-17.873717°,25.836982°,(-),<10 meters,0 km/h,7 Volt,23°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
93,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 02:00,(-),-17.873165°,25.837667°,(-),<10 meters,0 km/h,7 Volt,21°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
94,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 03:00,(-),-17.870265°,25.838767°,(-),<10 meters,0 km/h,7 Volt,20°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
95,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 04:00,(-),-17.870983°,25.841517°,(-),<10 meters,0 km/h,7 Volt,20°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
96,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 05:00,(-),-17.870767°,25.840182°,(-),<10 meters,0 km/h,7 Volt,19°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
97,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 06:00,(-),-17.869748°,25.838065°,(-),<10 meters,0 km/h,7 Volt,19°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
98,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 07:00,(-),-17.876850°,25.832465°,(-),<10 meters,0 km/h,7 Volt,19°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
