STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/3/2019,,65,,54
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/4/2019,,68,,50
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/5/2019,,66,,57
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/6/2019,,69,84,58
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/7/2019,,71,82,57
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/8/2019,,73,84,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/9/2019,,67,81,61
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/10/2019,,72,,58
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/12/2019,,67,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/13/2019,,63,72,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/14/2019,,67,78,57
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/15/2019,,71,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/16/2019,,71,83,62
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/17/2019,0,68,81,62
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/18/2019,0,65,71,61
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/19/2019,,68,81,56
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/20/2019,,66,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/21/2019,,66,,53
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/22/2019,,68,,53
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/23/2019,,69,81,54
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/24/2019,,68,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/25/2019,,65,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/26/2019,,72,83,54
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/27/2019,,66,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/28/2019,,68,77,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/29/2019,,64,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,4/30/2019,,62,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/1/2019,,69,,
