Index,Tag,Station,Type,SW Ver.,Time Stamp,Log Interval,Latitude,Longitude,Altitude,DOP,Speed,Battery,Temperature,Light Intensity,Movement,Accelerometer,Alarm,RSSI,Coverage,Retries,Ack Source
66,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 21:00,(-),-18.000267°,25.787900°,(-),<10 meters,0 km/h,7 Volt,26°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
67,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 22:00,(-),-17.999432°,25.787617°,(-),<10 meters,0 km/h,7 Volt,23°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
68,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 23:00,(-),-17.995582°,25.790532°,(-),<10 meters,0 km/h,7 Volt,21°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
69,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 00:00,(-),-17.999198°,25.788698°,(-),<10 meters,0 km/h,7 Volt,19°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
70,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 01:00,(-),-18.002717°,25.788065°,(-),<10 meters,0 km/h,7 Volt,18°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
71,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 02:00,(-),-18.006915°,25.785683°,(-),<10 meters,0 km/h,7 Volt,17°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
72,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 03:00,(-),-18.010533°,25.783750°,(-),<10 meters,0 km/h,7 Volt,16°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
73,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 04:00,(-),-18.015932°,25.784515°,(-),<10 meters,0 km/h,7 Volt,15°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
74,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 05:00,(-),-18.017067°,25.783717°,(-),<10 meters,0 km/h,7 Volt,15°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
75,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 06:00,(-),-18.019600°,25.782615°,(-),<10 meters,0 km/h,7 Volt,15°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
