"","Time","Latitude","Longitude","doy","BulNum"
"1205","2021-01-06 02:00:32",-18.47585,25.6270666666667,6,"9"
"1201","2021-01-06 02:00:52",-18.0004,25.4649333333333,6,"6"
"1242","2021-01-06 03:00:32",-17.8832333333333,25.6461,6,"7"
"1206","2021-01-06 04:00:32",-18.1802,25.4158166666667,6,"10"
"1243","2021-01-06 05:00:32",-17.9526333333333,25.8070166666667,6,"8"
"1247","2021-01-06 05:00:32",-17.9902666666667,25.7908166666667,6,"12"
"124","2021-01-06 05:01:03",-18.3856666666667,25.8275666666667,6,"2"
"1241","2021-01-06 06:00:32",-18.0040666666667,25.4705333333333,6,"6"
"1245","2021-01-06 06:00:32",-18.4715833333333,25.6242833333333,6,"9"
"1282","2021-01-06 07:00:32",-17.8832166666667,25.6460833333333,6,"7"
"1246","2021-01-06 08:00:32",-18.1802,25.4158,6,"10"
"128","2021-01-06 09:00:32",-18.3894,25.8265333333333,6,"2"
"1283","2021-01-06 09:00:32",-17.9445833333333,25.7791,6,"8"
"1287","2021-01-06 09:00:58",-17.9991166666667,25.75275,6,"12"
"1281","2021-01-06 10:00:32",-18.0082833333333,25.4749333333333,6,"6"
"1285","2021-01-06 10:00:32",-18.4700166666667,25.6266333333333,6,"9"
"1322","2021-01-06 11:00:32",-17.8832166666667,25.6461,6,"7"
"1286","2021-01-06 12:00:32",-18.1802,25.4158166666667,6,"10"
"132","2021-01-06 13:00:32",-18.39395,25.82485,6,"2"
"1323","2021-01-06 13:00:32",-17.9412333333333,25.7799666666667,6,"8"
"1327","2021-01-06 13:00:33",-18.0094333333333,25.75095,6,"12"
"1321","2021-01-06 14:00:32",-18.00815,25.4730666666667,6,"6"
"1325","2021-01-06 14:00:32",-18.4668666666667,25.6250666666667,6,"9"
"1362","2021-01-06 15:00:32",-17.8832333333333,25.6460833333333,6,"7"
"1326","2021-01-06 16:00:32",-18.1801833333333,25.4158166666667,6,"10"
"1363","2021-01-06 17:00:32",-17.9399333333333,25.789,6,"8"
"1367","2021-01-06 17:00:32",-18.0247666666667,25.7613833333333,6,"12"
"136","2021-01-06 17:00:57",-18.3810666666667,25.8428333333333,6,"2"
"1365","2021-01-06 18:00:32",-18.4673333333333,25.61925,6,"9"
"1361","2021-01-06 19:00:32",-18.0023666666667,25.4925666666667,6,"6"
"1402","2021-01-06 19:00:32",-17.8832166666667,25.6460833333333,6,"7"
"249","2021-01-06 19:00:43",-17.8831,25.8342833333333,6,"14"
