"","Date","Distance_to_Bull_1","Distance_to_Bull_2","Distance_to_Bull_3","Distance_to_Bull_4","Distance_to_Bull_5","Distance_to_Bull_6","Distance_to_Bull_7","Distance_to_Bull_8","Distance_to_Bull_9","Distance_to_Bull_10","Distance_to_Bull_12","Distance_to_Bull_13","Distance_to_Bull_14","Distance_to_Bull_15","Distance_to_Zambezi_River","Distance_to_Victoria_Falls","Circle"
"133",2019-10-10,74.6856167586095,59.4659975112726,39.0959682502348,62.8354927669088,46.5134064704492,61.8591626619632,62.1389042926776,63.1044874128809,42.5232131674216,0,51.1582256399728,50.5683750653998,NA,NA,54.3373006843137,54.2545798546731,NA
"134",2019-10-11,78.9986371945948,60.0444647822198,39.8214818500933,64.695588723015,45.6224371440058,63.3352132830222,63.6850887553221,63.5682954325384,37.2602894474553,0,52.1876687326683,48.7635099066242,NA,NA,56.4475011414414,56.1919357620292,NA
"135",2019-10-12,80.3634489929395,59.2881580288209,36.6052864565733,62.6715007395605,42.9145742022054,60.7690641198277,61.4361216969322,60.7133554769716,27.4060144080968,0,49.9815899554373,41.354917721192,NA,NA,54.6250131922973,53.8428451006389,NA
"136",2019-10-13,81.9517472551771,59.7176676334842,37.3839485025374,62.2789340051188,42.9004120842456,61.6948692342649,62.1455747755323,61.1904457473507,28.6401792690329,0,50.9539113926743,38.4982656608676,NA,NA,55.3469613046735,54.492198647369,NA
"137",2019-10-14,84.3022971534253,59.9401394033418,36.5612289257217,62.5229693265006,46.4842959192525,62.1630106387393,62.2547478661741,62.4433912174035,23.6931671469665,0,51.3835444479698,45.6279920545129,NA,NA,55.8052005435705,54.5489845602783,NA
"138",2019-10-15,86.0286817180024,60.5669327741749,38.8549724098725,63.6575511323507,49.2210505466163,66.9014977305079,63.253752115842,64.5458275233192,22.2358997661858,0,53.5679800053985,55.7473187408995,NA,NA,56.8107492306453,55.4924217332763,NA
"139",2019-10-16,84.9034451459408,60.3479987519103,39.1684649870444,63.4426806549051,48.9753190745471,62.8726998103252,62.9155906984402,62.4136468465176,28.2601743783395,0,54.8970532788562,55.6240506168014,NA,NA,55.9824450216124,55.1734721186036,NA
"140",2019-10-17,85.8103786825145,59.8832417745791,36.4544867078082,63.4187585311852,47.1757943056591,63.3827062997271,63.2413199363792,63.1753605720141,27.7155231541361,0,54.8839710521278,55.5587199292082,NA,NA,55.7107599199937,54.9384948496091,NA
"141",2019-10-18,86.4745222367672,57.7257463510594,35.9443697975754,60.7172331561928,46.743639536708,61.5799267338418,61.0575803843871,60.3902348761078,24.8346174344924,0,50.861476606392,52.4537300188376,NA,NA,53.2707925612474,52.3458156816451,NA
"142",2019-10-19,89.6741902174145,55.2873155524418,38.3980352386755,58.3927863078688,49.3175876448279,58.877635951341,58.5666171695995,57.9120862013538,18.9148823274152,0,47.8371802423175,51.2562439002874,NA,NA,52.6085429107379,51.0320356744537,NA
